"","AJM","ATI","CAM","CHO","HGM","IZT","MER","MPA","SAG","SFE","TAH","TLA","TLI","VIF","XAL"
"68",49,31,48,30,52,29,73,42,40,46,36,44,24,35,43
"69",43,33,49,65,58,35,42,49,41,43,42,48,34,32,45
"70",51,33,45,86,55,36,46,80,58,42,72,48,34,21,48
"71",55,38,55,80,64,52,44,106,49,44,81,64,32,31,53
"72",51,69,64,64,50,44,60,67,76,57,55,70,34,43,89
"73",51,59,58,55,40,39,56,94,56,46,81,69,113,113,75
"74",60,46,55,72,43,40,54,48,92,52,59,53,55,154,121
"75",33,86,78,73,44,40,61,45,61,47,61,121,124,117,67
"76",44,53,55,40,38,42,41,33,40,50,30,65,65,39,42
"77",41,42,41,47,37,35,43,32,32,44,31,43,51,42,41
"78",43,46,43,32,36,35,56,36,41,43,18,48,46,63,52
"79",40,44,39,35,35,26,41,39,51,43,38,50,44,45,37
"80",42,39,53,35,44,34,49,39,51,40,33,55,38,54,49
"81",37,55,45,30,42,36,50,38,49,39,40,66,36,65,49
"82",38,55,55,40,43,37,53,40,91,40,37,59,43,64,66
"83",33,53,65,51,43,44,51,42,55,39,46,55,64,87,78
"84",35,63,86,75,48,49,64,40,90,46,47,66,99,94,119
"85",35,76,99,95,50,46,80,44,110,52,58,83,95,93,178
"86",45,126,108,117,64,49,86,48,122,49,86,106,98,106,176
"87",51,91,93,100,77,46,64,43,115,62,78,114,100,145,118
"88",59,79,89,62,74,46,86,53,106,41,52,102,65,99,136
"89",52,38,64,61,69,46,84,40,100,53,32,92,72,40,121
"90",45,41,89,72,73,42,85,39,68,65,40,70,23,11,123
"91",39,45,95,48,81,55,65,39,41,51,40,72,16,48,81
"92",45,25,74,37,68,36,48,50,44,41,37,73,21,23,35
"93",52,28,71,68,52,25,41,40,27,63,30,57,28,13,41
"94",60,31,76,94,57,41,66,71,46,49,39,35,41,45,61
"95",45,45,65,92,57,32,58,48,46,62,82,47,56,42,54
"96",53,44,65,82,51,50,76,55,46,52,53,60,72,106,116
"97",56,101,108,121,67,74,165,45,46,47,113,125,130,66,103
"98",65,95,72,62,62,57,69,52,61,64,73,88,113,61,75
"99",48,57,52,59,43,49,42,46,73,48,49,31,48,56,88
"100",42,42,40,61,33,30,41,56,39,41,68,43,71,98,58
"101",40,22,40,75,32,26,39,47,46,35,52,33,26,50,58
"102",36,27,44,44,29,23,69,40,48,35,32,39,46,51,35
"103",38,31,52,35,30,21,46,43,67,35,28,37,44,48,71
"104",38,31,69,39,31,29,52,40,54,40,45,51,43,38,67
"105",33,31,68,33,36,27,38,35,75,40,46,46,31,53,62
"106",30,34,50,50,45,23,43,36,116,39,45,42,35,36,73
"107",31,43,56,59,47,42,66,34,85,37,40,65,49,52,89
"108",40,46,80,44,58,47,87,34,95,44,44,70,49,60,126
"109",44,74,87,64,63,58,88,35,117,45,57,74,53,96,174
"110",44,74,95,74,72,73,95,38,122,55,77,87,121,74,160
"111",51,47,93,75,60,70,84,51,83,68,99,99,79,137,107
"112",63,54,125,62,74,61,101,54,109,55,69,104,103,54,127
"113",72,79,98,45,78,63,84,48,81,71,51,74,47,56,111
"114",73,51,90,53,63,52,96,56,67,69,35,61,57,32,101
"115",66,37,51,48,36,55,71,58,49,45,43,75,34,77,74
"116",50,49,103,48,35,49,73,68,66,53,49,76,24,30,65
"117",52,43,85,138,43,39,60,60,80,43,50,65,53,40,83
"118",54,49,95,145,66,52,103,68,84,56,101,48,72,117,152
"119",94,117,89,44,61,69,104,105,70,71,249,94,168,236,108
"120",85,75,55,35,58,62,51,38,100,77,64,53,31,5,233
"121",68,56,40,37,48,40,157,32,51,49,43,49,122,61,113
"122",17,16,28,134,25,74,63,56,43,17,40,23,17,38,40
"123",10,8,20,35,14,10,29,20,23,9,40,17,10,32,44
"124",7,14,27,56,17,8,21,17,36,9,27,29,29,27,44
"125",11,18,28,59,21,16,50,14,65,13,25,42,22,33,30
"126",13,8,35,52,29,19,21,16,29,15,21,32,20,29,14
"127",15,16,36,34,28,17,26,17,34,18,13,40,32,27,25
"128",19,14,42,42,30,23,46,19,35,18,12,31,33,25,30
"129",21,23,44,36,32,27,42,21,35,21,18,18,31,34,31
"130",21,23,42,54,31,28,51,20,27,21,22,27,46,21,39
"131",20,23,38,58,22,29,44,24,24,22,31,37,27,24,28
"132",19,43,44,50,34,25,38,24,26,31,29,41,51,45,27
"133",27,47,51,99,41,24,46,27,37,39,28,50,50,58,37
"134",25,48,49,117,36,30,56,32,85,30,49,41,42,31,32
"135",16,27,92,47,38,27,49,32,32,26,35,28,35,21,31
"136",23,13,38,41,39,34,60,26,50,25,28,28,14,32,42
"137",18,11,39,50,39,21,50,30,49,20,25,27,27,23,33
"138",24,25,49,50,39,32,38,33,60,29,36,49,17,10,20
"139",21,25,53,51,39,23,37,53,46,33,59,33,29,21,32
"140",30,27,41,39,39,19,48,57,45,46,34,42,24,48,46
"141",38,20,48,45,39,31,52,42,43,23,19,45,30,28,49
"142",43,28,34,61,39,22,45,32,41,32,34,36,34,35,61
"143",41,42,46,97,23,31,47,59,45,29,129,50,43,44,59
"144",64,58,42,15,28,39,48,68,64,42,70,55,52,41,91
"145",61,54,55,38,54,53,66,49,78,60,42,47,73,116,85
"146",28,82,53,59,36,35,57,43,88,28,49,52,90,93,83
"147",25,69,49,64,38,30,67,46,61,31,49,69,54,60,59
"148",31,59,56,88,53,33,70,44,42,30,65,56,46,58,39
"149",26,34,47,56,40,39,42,48,29,34,56,51,39,49,35
"150",29,27,38,49,34,30,43,45,31,31,42,42,32,44,34
"151",29,25,33,50,29,28,38,39,30,24,25,36,30,30,30
"152",23,24,38,55,24,24,33,37,22,22,33,38,29,41,34
"153",20,17,36,57,24,23,34,29,20,21,23,32,40,27,30
"154",20,18,32,49,18,20,45,27,24,17,19,31,26,24,45
"155",25,27,39,55,17,25,42,23,50,23,25,32,30,26,44
"156",26,29,35,52,22,42,60,23,55,25,26,34,40,42,68
"157",24,31,41,81,45,34,50,19,44,27,48,49,47,71,55
"158",30,54,61,80,47,33,45,20,71,27,57,49,56,85,81
"159",32,46,62,68,37,34,45,31,78,28,54,49,82,79,88
